date,dose_type,N
2022-09-16,2022-2023 vaccine doses,9672
2022-09-17,2022-2023 vaccine doses,7610
2022-09-18,2022-2023 vaccine doses,4267
2022-09-19,2022-2023 vaccine doses,9461
2022-09-20,2022-2023 vaccine doses,8828
2022-09-21,2022-2023 vaccine doses,10232
2022-09-22,2022-2023 vaccine doses,9958
2022-09-23,2022-2023 vaccine doses,11767
2022-09-24,2022-2023 vaccine doses,6015
2022-09-25,2022-2023 vaccine doses,3795
2022-09-26,2022-2023 vaccine doses,9834
2022-09-27,2022-2023 vaccine doses,9653
2022-09-28,2022-2023 vaccine doses,10697
2022-09-29,2022-2023 vaccine doses,9964
2022-09-30,2022-2023 vaccine doses,12739
2022-10-01,2022-2023 vaccine doses,7413
2022-10-02,2022-2023 vaccine doses,3931
2022-10-03,2022-2023 vaccine doses,10418
2022-10-04,2022-2023 vaccine doses,10043
2022-10-05,2022-2023 vaccine doses,10950
2022-10-06,2022-2023 vaccine doses,10680
2022-10-07,2022-2023 vaccine doses,12943
2022-10-08,2022-2023 vaccine doses,7199
2022-10-09,2022-2023 vaccine doses,3834
2022-10-10,2022-2023 vaccine doses,10763
2022-10-11,2022-2023 vaccine doses,10553
2022-10-12,2022-2023 vaccine doses,11581
2022-10-13,2022-2023 vaccine doses,11266
2022-10-14,2022-2023 vaccine doses,13983
2022-10-15,2022-2023 vaccine doses,6815
2022-10-16,2022-2023 vaccine doses,3300
2022-10-17,2022-2023 vaccine doses,10950
2022-10-18,2022-2023 vaccine doses,10942
2022-10-19,2022-2023 vaccine doses,11883
2022-10-20,2022-2023 vaccine doses,11053
2022-10-21,2022-2023 vaccine doses,12920
2022-10-22,2022-2023 vaccine doses,6789
2022-10-23,2022-2023 vaccine doses,4254
2022-10-24,2022-2023 vaccine doses,10423
2022-10-25,2022-2023 vaccine doses,10786
2022-10-26,2022-2023 vaccine doses,11978
2022-10-27,2022-2023 vaccine doses,10688
2022-10-28,2022-2023 vaccine doses,12138
2022-10-29,2022-2023 vaccine doses,5524
2022-10-30,2022-2023 vaccine doses,3006
2022-10-31,2022-2023 vaccine doses,8889
2022-11-01,2022-2023 vaccine doses,9880
2022-11-02,2022-2023 vaccine doses,9628
2022-11-03,2022-2023 vaccine doses,9756
2022-11-04,2022-2023 vaccine doses,11493
2022-11-05,2022-2023 vaccine doses,9766
2022-11-06,2022-2023 vaccine doses,2568
2022-11-07,2022-2023 vaccine doses,8797
2022-11-08,2022-2023 vaccine doses,8696
2022-11-09,2022-2023 vaccine doses,9774
2022-11-10,2022-2023 vaccine doses,9324
2022-11-11,2022-2023 vaccine doses,8965
2022-11-12,2022-2023 vaccine doses,5625
2022-11-13,2022-2023 vaccine doses,2834
2022-11-14,2022-2023 vaccine doses,7361
2022-11-15,2022-2023 vaccine doses,7969
2022-11-16,2022-2023 vaccine doses,7898
2022-11-17,2022-2023 vaccine doses,7294
2022-11-18,2022-2023 vaccine doses,8291
2022-11-19,2022-2023 vaccine doses,5013
2022-11-20,2022-2023 vaccine doses,2730
2022-11-21,2022-2023 vaccine doses,6437
2022-11-22,2022-2023 vaccine doses,6378
2022-11-23,2022-2023 vaccine doses,5670
2022-11-24,2022-2023 vaccine doses,121
2022-11-25,2022-2023 vaccine doses,4572
2022-11-26,2022-2023 vaccine doses,2547
2022-11-27,2022-2023 vaccine doses,1641
2022-11-28,2022-2023 vaccine doses,5320
2022-11-29,2022-2023 vaccine doses,4708
2022-11-30,2022-2023 vaccine doses,5260
2022-12-01,2022-2023 vaccine doses,4713
2022-12-02,2022-2023 vaccine doses,5688
2022-12-03,2022-2023 vaccine doses,2879
2022-12-04,2022-2023 vaccine doses,1461
2022-12-05,2022-2023 vaccine doses,4497
2022-12-06,2022-2023 vaccine doses,4738
2022-12-07,2022-2023 vaccine doses,5251
2022-12-08,2022-2023 vaccine doses,4742
2022-12-09,2022-2023 vaccine doses,5905
2022-12-10,2022-2023 vaccine doses,3003
2022-12-11,2022-2023 vaccine doses,1515
2022-12-12,2022-2023 vaccine doses,4943
2022-12-13,2022-2023 vaccine doses,4454
2022-12-14,2022-2023 vaccine doses,4945
2022-12-15,2022-2023 vaccine doses,4794
2022-12-16,2022-2023 vaccine doses,5268
2022-12-17,2022-2023 vaccine doses,2542
2022-12-18,2022-2023 vaccine doses,1548
2022-12-19,2022-2023 vaccine doses,5010
2022-12-20,2022-2023 vaccine doses,3430
2022-12-21,2022-2023 vaccine doses,3531
2022-12-22,2022-2023 vaccine doses,3568
2022-12-23,2022-2023 vaccine doses,801
2022-12-24,2022-2023 vaccine doses,785
2022-12-25,2022-2023 vaccine doses,22
2022-12-26,2022-2023 vaccine doses,2296
2022-12-27,2022-2023 vaccine doses,3958
2022-12-28,2022-2023 vaccine doses,3625
2022-12-29,2022-2023 vaccine doses,3799
2022-12-30,2022-2023 vaccine doses,3760
2022-12-31,2022-2023 vaccine doses,745
2023-01-01,2022-2023 vaccine doses,239
2023-01-02,2022-2023 vaccine doses,2102
2023-01-03,2022-2023 vaccine doses,2795
2023-01-04,2022-2023 vaccine doses,2861
2023-01-05,2022-2023 vaccine doses,2737
2023-01-06,2022-2023 vaccine doses,3576
2023-01-07,2022-2023 vaccine doses,1975
2023-01-08,2022-2023 vaccine doses,923
2023-01-09,2022-2023 vaccine doses,2919
2023-01-10,2022-2023 vaccine doses,2617
2023-01-11,2022-2023 vaccine doses,2427
2023-01-12,2022-2023 vaccine doses,2463
2023-01-13,2022-2023 vaccine doses,2920
2023-01-14,2022-2023 vaccine doses,1631
2023-01-15,2022-2023 vaccine doses,774
2023-01-16,2022-2023 vaccine doses,1052
2023-01-17,2022-2023 vaccine doses,1910
2023-01-18,2022-2023 vaccine doses,2022
2023-01-19,2022-2023 vaccine doses,1687
2023-01-20,2022-2023 vaccine doses,2123
2023-01-21,2022-2023 vaccine doses,980
2023-01-22,2022-2023 vaccine doses,385
2023-01-23,2022-2023 vaccine doses,1716
2023-01-24,2022-2023 vaccine doses,1423
2023-01-25,2022-2023 vaccine doses,1690
2023-01-26,2022-2023 vaccine doses,1440
2023-01-27,2022-2023 vaccine doses,1649
2023-01-28,2022-2023 vaccine doses,717
2023-01-29,2022-2023 vaccine doses,376
2023-01-30,2022-2023 vaccine doses,1377
2023-01-31,2022-2023 vaccine doses,1302
2023-02-01,2022-2023 vaccine doses,1469
2023-02-02,2022-2023 vaccine doses,1258
2023-02-03,2022-2023 vaccine doses,1681
2023-02-04,2022-2023 vaccine doses,730
2023-02-05,2022-2023 vaccine doses,366
2023-02-06,2022-2023 vaccine doses,1317
2023-02-07,2022-2023 vaccine doses,1238
2023-02-08,2022-2023 vaccine doses,1330
2023-02-09,2022-2023 vaccine doses,1162
2023-02-10,2022-2023 vaccine doses,1519
2023-02-11,2022-2023 vaccine doses,580
2023-02-12,2022-2023 vaccine doses,219
2023-02-13,2022-2023 vaccine doses,1135
2023-02-14,2022-2023 vaccine doses,935
2023-02-15,2022-2023 vaccine doses,1207
2023-02-16,2022-2023 vaccine doses,1070
2023-02-17,2022-2023 vaccine doses,1199
2023-02-18,2022-2023 vaccine doses,473
2023-02-19,2022-2023 vaccine doses,218
2023-02-20,2022-2023 vaccine doses,667
2023-02-21,2022-2023 vaccine doses,899
2023-02-22,2022-2023 vaccine doses,984
2023-02-23,2022-2023 vaccine doses,858
2023-02-24,2022-2023 vaccine doses,1028
2023-02-25,2022-2023 vaccine doses,393
2023-02-26,2022-2023 vaccine doses,221
2023-02-27,2022-2023 vaccine doses,1023
2023-02-28,2022-2023 vaccine doses,1008
2023-03-01,2022-2023 vaccine doses,967
2023-03-02,2022-2023 vaccine doses,886
2023-03-03,2022-2023 vaccine doses,1162
2023-03-04,2022-2023 vaccine doses,435
2023-03-05,2022-2023 vaccine doses,203
2023-03-06,2022-2023 vaccine doses,924
2023-03-07,2022-2023 vaccine doses,844
2023-03-08,2022-2023 vaccine doses,899
2023-03-09,2022-2023 vaccine doses,922
2023-03-10,2022-2023 vaccine doses,1052
2023-03-11,2022-2023 vaccine doses,512
2023-03-12,2022-2023 vaccine doses,210
2023-03-13,2022-2023 vaccine doses,866
2023-03-14,2022-2023 vaccine doses,799
2023-03-15,2022-2023 vaccine doses,856
2023-03-16,2022-2023 vaccine doses,759
2023-03-17,2022-2023 vaccine doses,917
2023-03-18,2022-2023 vaccine doses,316
2023-03-19,2022-2023 vaccine doses,160
2023-03-20,2022-2023 vaccine doses,837
2023-03-21,2022-2023 vaccine doses,803
2023-03-22,2022-2023 vaccine doses,923
2023-03-23,2022-2023 vaccine doses,793
2023-03-24,2022-2023 vaccine doses,940
2023-03-25,2022-2023 vaccine doses,378
2023-03-26,2022-2023 vaccine doses,182
2023-03-27,2022-2023 vaccine doses,857
2023-03-28,2022-2023 vaccine doses,756
2023-03-29,2022-2023 vaccine doses,870
2023-03-30,2022-2023 vaccine doses,767
2023-03-31,2022-2023 vaccine doses,933
2023-04-01,2022-2023 vaccine doses,347
2023-04-02,2022-2023 vaccine doses,190
2023-04-03,2022-2023 vaccine doses,712
2023-04-04,2022-2023 vaccine doses,752
2023-04-05,2022-2023 vaccine doses,778
2023-04-06,2022-2023 vaccine doses,701
2023-04-07,2022-2023 vaccine doses,757
2023-04-08,2022-2023 vaccine doses,272
2023-04-09,2022-2023 vaccine doses,93
2023-04-10,2022-2023 vaccine doses,731
2023-04-11,2022-2023 vaccine doses,726
2023-04-12,2022-2023 vaccine doses,710
2023-04-13,2022-2023 vaccine doses,680
2023-04-14,2022-2023 vaccine doses,754
2023-04-15,2022-2023 vaccine doses,286
2023-04-16,2022-2023 vaccine doses,134
2023-04-17,2022-2023 vaccine doses,736
2023-04-18,2022-2023 vaccine doses,695
2023-04-19,2022-2023 vaccine doses,715
2023-04-20,2022-2023 vaccine doses,1183
2023-04-21,2022-2023 vaccine doses,1560
2023-04-22,2022-2023 vaccine doses,800
2023-04-23,2022-2023 vaccine doses,431
2023-04-24,2022-2023 vaccine doses,1648
2023-04-25,2022-2023 vaccine doses,1493
2023-04-26,2022-2023 vaccine doses,1642
2023-04-27,2022-2023 vaccine doses,1490
2023-04-28,2022-2023 vaccine doses,1607
2023-04-29,2022-2023 vaccine doses,646
2023-04-30,2022-2023 vaccine doses,386
2023-05-01,2022-2023 vaccine doses,1542
2023-05-02,2022-2023 vaccine doses,1775
2023-05-03,2022-2023 vaccine doses,2000
2023-05-04,2022-2023 vaccine doses,1943
2023-05-05,2022-2023 vaccine doses,2155
2023-05-06,2022-2023 vaccine doses,845
2023-05-07,2022-2023 vaccine doses,573
2023-05-08,2022-2023 vaccine doses,1801
2023-05-09,2022-2023 vaccine doses,1937
2023-05-10,2022-2023 vaccine doses,1934
2023-05-11,2022-2023 vaccine doses,1805
2023-05-12,2022-2023 vaccine doses,1626
2023-05-13,2022-2023 vaccine doses,470
2023-05-14,2022-2023 vaccine doses,157
2023-05-15,2022-2023 vaccine doses,1393
2023-05-16,2022-2023 vaccine doses,1359
2023-05-17,2022-2023 vaccine doses,1459
2023-05-18,2022-2023 vaccine doses,1083
2023-05-19,2022-2023 vaccine doses,1357
2023-05-20,2022-2023 vaccine doses,494
2023-05-21,2022-2023 vaccine doses,201
2023-05-22,2022-2023 vaccine doses,1420
2023-05-23,2022-2023 vaccine doses,1385
2023-05-24,2022-2023 vaccine doses,1398
2023-05-25,2022-2023 vaccine doses,1255
2023-05-26,2022-2023 vaccine doses,1426
2023-05-27,2022-2023 vaccine doses,419
2023-05-28,2022-2023 vaccine doses,236
2023-05-29,2022-2023 vaccine doses,122
2023-05-30,2022-2023 vaccine doses,1329
2023-05-31,2022-2023 vaccine doses,1493
2023-06-01,2022-2023 vaccine doses,1194
2023-06-02,2022-2023 vaccine doses,1272
2023-06-03,2022-2023 vaccine doses,512
2023-06-04,2022-2023 vaccine doses,178
2023-06-05,2022-2023 vaccine doses,1167
2023-06-06,2022-2023 vaccine doses,1179
2023-06-07,2022-2023 vaccine doses,1093
2023-06-08,2022-2023 vaccine doses,996
2023-06-09,2022-2023 vaccine doses,1133
2023-06-10,2022-2023 vaccine doses,372
2023-06-11,2022-2023 vaccine doses,219
2023-06-12,2022-2023 vaccine doses,1048
2023-06-13,2022-2023 vaccine doses,1181
2023-06-14,2022-2023 vaccine doses,1144
2023-06-15,2022-2023 vaccine doses,1168
2023-06-16,2022-2023 vaccine doses,1052
2023-06-17,2022-2023 vaccine doses,294
2023-06-18,2022-2023 vaccine doses,174
2023-06-19,2022-2023 vaccine doses,841
2023-06-20,2022-2023 vaccine doses,955
2023-06-21,2022-2023 vaccine doses,928
2023-06-22,2022-2023 vaccine doses,845
2023-06-23,2022-2023 vaccine doses,958
2023-06-24,2022-2023 vaccine doses,265
2023-06-25,2022-2023 vaccine doses,103
2023-06-26,2022-2023 vaccine doses,849
2023-06-27,2022-2023 vaccine doses,864
2023-06-28,2022-2023 vaccine doses,785
2023-06-29,2022-2023 vaccine doses,828
2023-06-30,2022-2023 vaccine doses,953
2023-07-01,2022-2023 vaccine doses,226
2023-07-02,2022-2023 vaccine doses,143
2023-07-03,2022-2023 vaccine doses,655
2023-07-04,2022-2023 vaccine doses,30
2023-07-05,2022-2023 vaccine doses,728
2023-07-06,2022-2023 vaccine doses,736
2023-07-07,2022-2023 vaccine doses,763
2023-07-08,2022-2023 vaccine doses,183
2023-07-09,2022-2023 vaccine doses,142
